"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type","stripped_text"
"2740","travel2_ukraine","236485098",2017-09-17 22:37:12,"909546810233978880","JOHN DEERE X465 X475 X485 X495 X700 X720 X740 HYDRO REAR END DIFFERENTIAL https://t.co/zFzox7cHs8",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"de","IFTTT",NA,NA,NA,NA,"armazi.steinstone.info/US/categories/…","http://armazi.steinstone.info/US/categories/twt/?item=222648307989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOHN DEERE X465 X475 X485 X495 X700 X720 X740 HYDRO REAR END DIFFERENTIAL "
"2741","AlanandMary1","766689202641657856",2017-09-17 22:29:55,"909544976555692033","@EdDavidson10 @satshot @princeofcorn Side by side but was the claas in the lead shelling the end 6 inches that the… https://t.co/poo9JGqAxp",0,0,FALSE,NA,FALSE,NA,"909525429018488832","3186983606","EdDavidson10","en","Twitter for Android",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/909544976555692033","EdDavidson10 satshot princeofcorn","3186983606 174234345 920264665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"@EdDavidson10 @satshot @princeofcorn Side by side but was the claas in the lead shelling the end 6 inches that the… "
"2742","PAsports_RW","516702474",2017-09-17 22:28:40,"909544662788132866","@MeghanEckart @JillDawsonJ @_jess_d0itt @CubsGirl1980 @megw519
@cubs_woo @fitzy_erin @cat_deere @LadyDiana1210 https://t.co/tKJZXtZz8m",0,1,TRUE,"909540163566567424",FALSE,NA,NA,"313038643","MeghanEckart","und","Twitter Web Client",NA,NA,NA,NA,"twitter.com/PAsports_RW/st…","https://twitter.com/PAsports_RW/status/909540163566567424","MeghanEckart JillDawsonJ _jess_d0itt CubsGirl1980 megw519 cubs_woo fitzy_erin cat_deere LadyDiana1210","313038643 252311470 333601760 759927757761552384 15172281 4625678450 1029077448 2195659904 466143205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"@MeghanEckart @JillDawsonJ @_jess_d0itt @CubsGirl1980 @megw519
@cubs_woo @fitzy_erin @cat_deere @LadyDiana1210 "
"2743","truckersmag","838764970812837888",2017-09-17 22:25:35,"909543883637485568","Encuentra la revista en Jhon Deere #Tampico, #Tam #TDM #Magazine https://t.co/H5MXohFDUN",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","TTYtter","893507692655923200","http://pbs.twimg.com/media/DGZggzDV0AA83bv.jpg","https://twitter.com/truckersmag/status/893507733751824384/photo/1",NA,NA,NA,NA,NA,NA,"Tampico Tam TDM Magazine",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Encuentra la revista en Jhon Deere #Tampico, #Tam #TDM #Magazine "
"2744","GlobeComm_","877534563643215872",2017-09-17 22:19:52,"909542446421307392","Deere CEO: ""This is our home."" | Economy | https://t.co/0iMyGGSHQk https://t.co/PZA5Dx7OW0",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Mobile Web (M2)",NA,NA,NA,NA,"qctimes.com ref.gl/YGw2WeeA","http://qctimes.com http://ref.gl/YGw2WeeA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deere CEO: ""This is our home."" | Economy | "
"2745","matheusbenini8","3713260516",2017-09-17 22:18:41,"909542150202888192","Gostei de um vídeo @YouTube https://t.co/1Me8rT4Tjf de milho Fazenda marata butiticupu maranhão-BR com dua John Deere 9770",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"pt","Google",NA,NA,NA,NA,"youtu.be/BmX0plpq458?ac…","http://youtu.be/BmX0plpq458?acolheita","YouTube","10228272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gostei de um vídeo @YouTube "
"2746","OfficeDazes","887332494961295361",2017-09-17 22:13:01,"909540723535495168","Deere CEO says company will keep headquarters in Quad Cities | Business | https://t.co/MistV6wf7n https://t.co/6DXMsQS8AC",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Mobile Web (M2)",NA,NA,NA,NA,"stltoday.com ref.gl/VohSwlQU","http://stltoday.com http://ref.gl/VohSwlQU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deere CEO says company will keep headquarters in Quad Cities | Business | "
"2747","CoachA60","99395023",2017-09-17 22:05:18,"909538781002428416","Since I was driving a John Deere tractor at age 10 I seriously don't know what all the fuss is about ... https://t.co/g30ne7bqrI",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Echofon",NA,NA,NA,NA,"tmi.me/1fjEeB","http://tmi.me/1fjEeB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Since I was driving a John Deere tractor at age 10 I seriously don't know what all the fuss is about ... "
"2748","jonathannen","23683091",2017-09-17 22:05:10,"909538748483997696","John Deere investing into Machine Learning (read: AI farms) https://t.co/vzV9dyBlNK",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Buffer",NA,NA,NA,NA,"prn.to/2ftK4ot","http://prn.to/2ftK4ot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Deere investing into Machine Learning (read: AI farms) "
"2749","FatherPineapple","635863078",2017-09-17 21:55:36,"909536340370427905","I need a bitch who knows how to work a John Deere",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I need a bitch who knows how to work a John Deere"
"2750","SheItonLyrics","794493300505878529",2017-09-17 21:54:52,"909536156349554689","I've got a john deere in my barn",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Cheap Bots, Done Quick!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I've got a john deere in my barn"
